trucks_count 5
drones_count 5
customers 75
depot 40 40
Coordinate X         Coordinate Y         Dronable Demand
22                   22                   1        18
36                   26                   1        26
21                   45                   1        11
45                   35                   1        30
55                   20                   1        21
33                   34                   1        19
50                   50                   1        15
55                   45                   1        16
26                   59                   1        29
40                   66                   1        26
55                   65                   1        37
35                   51                   1        16
62                   35                   1        12
62                   57                   1        31
62                   24                   1        8
21                   36                   1        19
33                   44                   1        20
9                    56                   1        13
62                   48                   1        15
66                   14                   1        22
44                   13                   1        28
26                   13                   1        12
11                   28                   1        6
7                    43                   1        27
17                   64                   1        14
41                   46                   1        18
55                   34                   1        17
35                   16                   1        29
52                   26                   1        13
43                   26                   1        22
31                   76                   1        25
22                   53                   1        28
26                   29                   1        27
50                   40                   1        19
55                   50                   1        10
54                   10                   1        12
60                   15                   1        14
47                   66                   1        24
30                   60                   1        16
30                   50                   1        33
12                   17                   1        15
15                   14                   1        11
16                   19                   1        18
21                   48                   1        17
50                   30                   1        21
51                   42                   1        27
50                   15                   1        19
48                   21                   1        20
12                   38                   1        5
15                   56                   1        22
29                   39                   1        12
54                   38                   1        19
55                   57                   1        22
67                   41                   1        16
10                   70                   1        7
6                    25                   1        26
65                   27                   1        14
40                   60                   1        21
70                   64                   1        24
64                   4                    1        13
36                   6                    1        15
30                   20                   1        18
20                   30                   1        11
15                   5                    1        28
50                   70                   1        9
57                   72                   1        37
45                   42                   1        30
38                   33                   1        10
50                   4                    1        8
66                   8                    1        11
59                   5                    1        3
35                   60                   1        1
27                   24                   1        6
40                   20                   1        10
40                   37                   1        20
