sep=,
adaptive_iterations,adaptive_pull_elite_segments,elite_pool_factor,average_result,average_total_time_sec,cost_gap_%,time_gap_%
10,3,0.02,124.840808,4.21,1.67,-20.86
10,3,0.03,123.940728,4.16,0.93,-21.80
10,3,0.04,124.220856,4.11,1.16,-22.74
10,4,0.02,123.616603,5.24,0.67,-1.50
10,4,0.03,122.793711,5.32,0.00,0.00
10,4,0.04,123.517848,5.4,0.59,1.50
10,5,0.02,122.985371,6.73,0.16,26.50
10,5,0.03,122.865007,6.49,0.06,21.99
10,5,0.04,123.041527,6.38,0.20,19.92
12,3,0.02,123.891088,5.27,0.89,-0.94
12,3,0.03,124.304393,5.25,1.23,-1.32
12,3,0.04,123.74442,5.3,0.77,-0.38
12,4,0.02,124.030724,6.45,1.01,21.24
12,4,0.03,123.113604,6.44,0.26,21.05
12,4,0.04,123.223063,6.3,0.35,18.42
12,5,0.02,122.750867,7.76,-0.03,45.86
12,5,0.03,122.810714,7.79,0.01,46.43
12,5,0.04,122.62249,7.66,-0.14,43.98
8,3,0.02,124.536559,3.65,1.42,-31.39
8,3,0.03,123.947618,3.72,0.94,-30.08
8,3,0.04,123.52764,3.7,0.60,-30.45
8,4,0.02,123.338192,4.67,0.44,-12.22
8,4,0.03,123.401864,4.68,0.50,-12.03
8,4,0.04,123.741959,4.49,0.77,-15.60
8,5,0.02,123.632006,5.41,0.68,1.69
8,5,0.03,123.915253,5.37,0.91,0.94
8,5,0.04,123.323841,5.41,0.43,1.69
